,Type Of Dwelling,General Zone Classification,Linear Feet of Street,Plot size in square feet,Type of road,Type of Alley,Shape of Property,Flatness of Property,Types of Utilities Available,Plot Configuration,Slope of Property,Locations within Ames City limits,Proximity to various conditions,Overall Rating(Material & Finishing),Rating Overall Condition of house,Original construction date,Remodel date of property,Type of Roof,Material used in Roof,Exterior Covering on the House,Evaluation of Quality of material on Exterior,Evaluation present condition of material on Exterior,Type of Foundation,Evaluation of hight of basement,Evaluation of condition of Basement,Exposure Walkout or garden-level walls,Basement Finished area rating,Finished square feet area in basement,"Basement Finished area rating,if multiple types","Finished square feet area in basement,type 2",Unfinished Basement area in square feet,Total Basement area in square feet,Type of heating,Heating Quality and Condition,Central Air Conditioning,Electrical System,Area of 1st Floor in Square Feet,Area of 2nd Floor in Square Feet,Total living area in square feet,Full Bathrooms,Half Bathrooms,Bedrooms(Excluded Basement Bedrooms),Kitchens,Kitchen Quality,Total Rooms(Excluded Bathrooms),Number of Fireplaces,Fireplace Quality,Garage location,The Year of Garage Built,Interior finish of the garage,Car Parking capacity in Garage,Size of garage in square feet,Garage quality,Garage condition,Paved driveway,Wood deck area in square feet,Open porch area in square feet,Enclosed porch area in square feet,Three-season porch area in square feet,Screen porch area in square feet,Fence Quality,Miscellaneous features,Value of miscellaneous feature in Dollars,Month and Year of sold,Type of Sale,Condition of Sale,Sale Price,Price per square foot of property(in $),Age of Property when sold(in years)
10,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,70,11200,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Sawyer,Normal,Average,Average,1965,1965,Hip,Standard (Composite) Shingle,Hard Board,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Rec Room,906,Unfinished,0,134,1040,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1040,0,1040,1,0,3,1,Average/Typical,5,0,No Fireplace,Detached from home,1965,Unfinished,1,384,Typical/Average,Typical/Average,Paved,0,0,0,0,0,No Fence,No Extra Feature,0,February 2008,Warranty Deed - Conventional,Normal Sale,129500,11.5625,43
11,2-STORY 1946 & NEWER,Residential Low-Density,85,11924,Paved,No Alley Access,Slightly Irregular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Northridge Heights,Normal,Excellent,Average,2005,2006,Hip,Standard (Composite) Shingle,Wood Shingles,Excellent,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Good Living Quarters,998,Unfinished,0,177,1175,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1182,1142,2324,3,0,4,1,Excellent,11,2,Good - Masonry Fireplace on the main level,Built-In (Garage part of the house - typically has room above the garage),2005,Finished,3,736,Typical/Average,Typical/Average,Paved,147,21,0,0,0,No Fence,No Extra Feature,0,July 2006,Home just constructed and sold,Home was not completed when last assessed,345000,28.933243877893325,1
12,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,0,12968,Paved,No Alley Access,Moderately Irregular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Sawyer,Normal,Average,Above Average,1962,1962,Hip,Standard (Composite) Shingle,Hard Board & Plywood,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Living Quarters,737,Unfinished,0,175,912,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,912,0,912,1,0,2,1,Average/Typical,4,0,No Fireplace,Detached from home,1962,Unfinished,1,352,Typical/Average,Typical/Average,Paved,140,0,0,0,176,No Fence,No Extra Feature,0,September 2008,Warranty Deed - Conventional,Normal Sale,144000,11.104256631708822,46
13,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,91,10652,Paved,No Alley Access,Slightly Irregular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,College Creek,Normal,Good,Average,2006,2007,Gable,Standard (Composite) Shingle,Vinyl Siding,Good,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,Average Exposure,Unfinished,0,Unfinished,0,1494,1494,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1494,0,1494,2,0,3,1,Good,7,1,Good - Masonry Fireplace on the main level,Attached to the home,2006,Rough Finished,3,840,Typical/Average,Typical/Average,Paved,160,33,0,0,0,No Fence,No Extra Feature,0,August 2007,Home just constructed and sold,Home was not completed when last assessed,279500,26.239203905369884,1
14,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,0,10920,Paved,No Alley Access,Slightly Irregular,Near Flat Level,All Public Utilities,Corner Plot,Gentle Slope,North Ames,Normal,Above Average,Average,1960,1960,Hip,Standard (Composite) Shingle,Metal Siding,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Below Average Living Quarters,733,Unfinished,0,520,1253,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1253,0,1253,1,1,2,1,Average/Typical,5,1,Fair - Prefabricated Fireplace in the basement,Attached to the home,1960,Rough Finished,1,352,Typical/Average,Typical/Average,Paved,0,213,176,0,0,Good Wood,No Extra Feature,0,May 2008,Warranty Deed - Conventional,Normal Sale,157000,14.377289377289378,48
15,1-1/2 STORY - UNFINISHED ALL AGES,Residential Medium Density,51,6120,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Corner Plot,Gentle Slope,Brookside,Normal,Good,Very Good,1929,2001,Gable,Standard (Composite) Shingle,Wood Siding,Average/Typical,Average/Typical,Brick & Tile,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,Unfinished,0,832,832,Gas forced warm air furnace,Excellent,Yes,Fuse Box over 60 AMP and all Romex wiring (Average),854,0,854,1,0,2,1,Average/Typical,5,0,No Fireplace,Detached from home,1991,Unfinished,2,576,Typical/Average,Typical/Average,Paved,48,112,0,0,0,Good Privacy,No Extra Feature,0,July 2007,Warranty Deed - Conventional,Normal Sale,132000,21.568627450980394,78
16,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,0,11241,Paved,No Alley Access,Slightly Irregular,Near Flat Level,All Public Utilities,Cul-De-Sac,Gentle Slope,North Ames,Normal,Above Average,Good,1970,1970,Gable,Standard (Composite) Shingle,Wood Siding,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Living Quarters,578,Unfinished,0,426,1004,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1004,0,1004,1,0,2,1,Average/Typical,5,1,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,1970,Finished,2,480,Typical/Average,Typical/Average,Paved,0,0,0,0,0,No Fence,Shed (over 100 Square Feet),700,March 2010,Warranty Deed - Conventional,Normal Sale,149000,13.255048483231029,40
17,DUPLEX - ALL STYLES AND AGES,Residential Low-Density,72,10791,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Sawyer,Normal,Below Average,Average,1967,1967,Gable,Standard (Composite) Shingle,Metal Siding,Average/Typical,Average/Typical,Slab,No Basement,No Basement,No Exposure,No Basement,0,No Basement,0,0,0,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1296,0,1296,2,0,2,2,Average/Typical,6,0,No Fireplace,Car Port,1967,Unfinished,2,516,Typical/Average,Typical/Average,Paved,0,0,0,0,0,No Fence,Shed (over 100 Square Feet),500,October 2006,Warranty Deed - Conventional,Normal Sale,90000,8.340283569641368,39
18,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,66,13695,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Sawyer West,Adjacent to East-West Railroad & Normal,Average,Average,2004,2004,Gable,Standard (Composite) Shingle,Vinyl Siding,Average/Typical,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Good Living Quarters,646,Unfinished,0,468,1114,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1114,0,1114,1,1,3,1,Good,6,0,No Fireplace,Detached from home,2004,Unfinished,2,576,Typical/Average,Typical/Average,Paved,0,102,0,0,0,No Fence,No Extra Feature,0,June 2008,Warranty Deed - Conventional,Normal Sale,159000,11.610076670317634,4
19,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,70,7560,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,North Ames,Normal,Average,Above Average,1958,1965,Hip,Standard (Composite) Shingle,Brick Face & Plywood,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Low Quality,504,Unfinished,0,525,1029,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1339,0,1339,1,0,3,1,Average/Typical,6,0,No Fireplace,Attached to the home,1958,Unfinished,1,294,Typical/Average,Typical/Average,Paved,0,0,0,0,0,Minimum Privacy,No Extra Feature,0,May 2009,Court Officer Deed/Estate,"Abnormal Sale -  trade, foreclosure, short sale",139000,18.386243386243386,51
20,2-STORY 1946 & NEWER,Residential Low-Density,101,14215,Paved,No Alley Access,Slightly Irregular,Near Flat Level,All Public Utilities,Corner Plot,Gentle Slope,Northridge Heights,Normal,Very Good,Average,2005,2006,Gable,Standard (Composite) Shingle,Vinyl Siding,Good,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,Average Exposure,Unfinished,0,Unfinished,0,1158,1158,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1158,1218,2376,3,1,4,1,Good,9,1,Good - Masonry Fireplace on the main level,Built-In (Garage part of the house - typically has room above the garage),2005,Rough Finished,3,853,Typical/Average,Typical/Average,Paved,240,154,0,0,0,No Fence,No Extra Feature,0,November 2006,Home just constructed and sold,Home was not completed when last assessed,325300,22.884277172001408,1
21,1-1/2 STORY - UNFINISHED ALL AGES,Residential Medium Density,57,7449,Paved,Gravel,Regular,Banked,All Public Utilities,Inside Plot,Gentle Slope,Iowa DOT and Rail Road,Normal,Good,Good,1930,1950,Gable,Standard (Composite) Shingle,Wood Siding,Average/Typical,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,Unfinished,0,637,637,Gas forced warm air furnace,Excellent,Yes,60 AMP Fuse Box and mostly Romex wiring (Fair),1108,0,1108,1,0,3,1,Good,6,1,Good - Masonry Fireplace on the main level,Attached to the home,1930,Unfinished,1,280,Typical/Average,Typical/Average,Dirt/Gravel,0,0,205,0,0,Good Privacy,No Extra Feature,0,June 2007,Warranty Deed - Conventional,Normal Sale,139400,18.71392133172238,77
22,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,75,9742,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,College Creek,Normal,Very Good,Average,2002,2002,Hip,Standard (Composite) Shingle,Vinyl Siding,Good,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,Unfinished,0,1777,1777,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1795,0,1795,2,0,3,1,Good,7,1,Good - Masonry Fireplace on the main level,Attached to the home,2002,Rough Finished,2,534,Typical/Average,Typical/Average,Paved,171,159,0,0,0,No Fence,No Extra Feature,0,September 2008,Warranty Deed - Conventional,Normal Sale,230000,23.609115171422705,6
23,1-STORY PUD (Planned Unit Development) - 1946 & NEWER,Residential Medium Density,44,4224,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Meadow Village,Normal,Average,Good,1976,1976,Gable,Standard (Composite) Shingle,Cement Board,Average/Typical,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Good Living Quarters,840,Unfinished,0,200,1040,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1060,0,1060,1,0,3,1,Average/Typical,6,1,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,1976,Unfinished,2,572,Typical/Average,Typical/Average,Paved,100,110,0,0,0,No Fence,No Extra Feature,0,June 2007,Warranty Deed - Conventional,Normal Sale,129900,30.75284090909091,31
24,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,0,8246,Paved,No Alley Access,Slightly Irregular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Sawyer,Normal,Average,Very Good,1968,2001,Gable,Standard (Composite) Shingle,Plywood,Average/Typical,Good,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,Mimimum Exposure,Average Rec Room,188,Average Living Quarters,668,204,1060,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1060,0,1060,1,0,3,1,Good,6,1,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,1968,Unfinished,1,270,Typical/Average,Typical/Average,Paved,406,90,0,0,0,Minimum Privacy,No Extra Feature,0,May 2010,Warranty Deed - Conventional,Normal Sale,154000,18.67572156196944,42
25,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,110,14230,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Corner Plot,Gentle Slope,Northridge Heights,Normal,Very Good,Average,2007,2007,Gable,Standard (Composite) Shingle,Vinyl Siding,Good,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,Unfinished,0,1566,1566,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1600,0,1600,2,0,3,1,Good,7,1,Good - Masonry Fireplace on the main level,Attached to the home,2007,Rough Finished,3,890,Typical/Average,Typical/Average,Paved,0,56,0,0,0,No Fence,No Extra Feature,0,July 2009,Warranty Deed - Conventional,Normal Sale,256300,18.011243851018975,2
26,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,60,7200,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Corner Plot,Gentle Slope,North Ames,Normal,Average,Good,1951,2000,Gable,Standard (Composite) Shingle,Wood Siding,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,Mimimum Exposure,Below Average Living Quarters,234,Average Rec Room,486,180,900,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,900,0,900,1,0,3,1,Good,5,0,No Fireplace,Detached from home,2005,Unfinished,2,576,Typical/Average,Typical/Average,Paved,222,32,0,0,0,No Fence,No Extra Feature,0,May 2010,Warranty Deed - Conventional,Normal Sale,134800,18.72222222222222,59
27,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,98,11478,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Northridge Heights,Normal,Very Good,Average,2007,2008,Gable,Standard (Composite) Shingle,Vinyl Siding,Good,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Good Living Quarters,1218,Unfinished,0,486,1704,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1704,0,1704,2,0,3,1,Good,7,1,Good - Masonry Fireplace on the main level,Attached to the home,2008,Rough Finished,3,772,Typical/Average,Typical/Average,Paved,0,50,0,0,0,No Fence,No Extra Feature,0,May 2010,Warranty Deed - Conventional,Normal Sale,306000,26.659696811291166,3
28,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,47,16321,Paved,No Alley Access,Slightly Irregular,Near Flat Level,All Public Utilities,Cul-De-Sac,Gentle Slope,North Ames,Normal,Average,Above Average,1957,1997,Gable,Standard (Composite) Shingle,Metal Siding,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,Good Exposure,Below Average Living Quarters,1277,Unfinished,0,207,1484,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1600,0,1600,1,0,2,1,Average/Typical,6,2,Good - Masonry Fireplace on the main level,Attached to the home,1957,Rough Finished,1,319,Typical/Average,Typical/Average,Paved,288,258,0,0,0,No Fence,No Extra Feature,0,December 2006,Warranty Deed - Conventional,Normal Sale,207500,12.713681759696097,49
29,1-STORY 1945 & OLDER,Residential Medium Density,60,6324,Paved,No Alley Access,Slightly Irregular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Brookside,Adjacent to feeder street & Within 200' of North-South Railroad,Below Average,Above Average,1927,1950,Gable,Standard (Composite) Shingle,Metal Siding,Average/Typical,Average/Typical,Brick & Tile,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,Unfinished,0,520,520,Gas forced warm air furnace,Fair,No,Standard Circuit Breakers & Romex,520,0,520,1,0,1,1,Fair,4,0,No Fireplace,Detached from home,1920,Unfinished,1,240,Fair,Typical/Average,Paved,49,0,87,0,0,No Fence,No Extra Feature,0,May 2008,Warranty Deed - Conventional,Normal Sale,68500,10.831752055660974,81
30,2-STORY 1945 & OLDER,Commercial,50,8500,Paved,Paved,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Iowa DOT and Rail Road,Adjacent to feeder street & Normal,Below Average,Below Average,1920,1950,Gabrel (Barn),Standard (Composite) Shingle,Brick Face,Average/Typical,Fair,Brick & Tile,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,Unfinished,0,649,649,Gas forced warm air furnace,Average/Typical,No,Standard Circuit Breakers & Romex,649,668,1317,1,0,3,1,Average/Typical,6,0,No Fireplace,Detached from home,1920,Unfinished,1,250,Typical/Average,Fair,Dirt/Gravel,0,54,172,0,0,Minimum Privacy,No Extra Feature,0,July 2008,Warranty Deed - Conventional,Normal Sale,40000,4.705882352941177,88
